InvestigationType,EventDate,Location,Country,Latitude,Longitude,Lethality,InjurySeverity,AircraftDamage,RegistrationNumber,Make,Model,NumberofEngines,EngineType,PurposeofFlight,AirCarrier,TotalFatalInjuries,WeatherCondition,BroadPhaseofFlight
Accident,8/31/91,"SOD, WV",United States,38.2442625,-81.8762393,1,Fatal,Destroyed,N5435Y,PIPER,PA-23-250,2,Reciprocating,Personal,,1,VMC,CRUISE
Accident,9/2/91,"CALHAN, CO",United States,39.0355459,-104.297186,1,Fatal,Substantial,N939PC,Continental Copters,S1-C,1,Reciprocating,Personal,,1,VMC,OTHER
Accident,9/2/91,"EMPORIA, KS",United States,38.403903,-96.1816626,1,Fatal,Destroyed,N6136D,PIPER,PA-22-150,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,9/2/91,"BAINBRIDGE, GA",United States,30.9037995,-84.5754699,1,Fatal,Destroyed,N4393Y,PIPER,PA-25-235C,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,9/6/91,"SAN PEDRO, CA",United States,33.7360619,-118.2922461,1,Fatal,Destroyed,N5442A,CESSNA,C-310B,2,Reciprocating,Unknown,,1,VMC,CRUISE
Accident,9/6/91,"MAYFIELD, UT",United States,39.1141292,-111.7107536,1,Fatal,Destroyed,N3006J,PIPER,PA32RT-300T,1,Reciprocating,Personal,,1,UNK,CRUISE
Accident,9/7/91,"TRANQUILITY, NJ",United States,40.9491164,-74.8017267,1,Fatal,Destroyed,N3721C,BOEING,PT-17,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,9/7/91,"PHOENIX, AZ",United States,33.4483771,-112.0740373,1,Fatal,Substantial,N7456T,Rolladen-Schneider,EXEC 90,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,9/11/91,"FT. CARSON, CO",United States,38.7374943,-104.7888615,1,Fatal,Destroyed,N7730Y,PIPER,PA-30,2,Reciprocating,Personal,,1,VMC,APPROACH
Accident,9/11/91,"KAHULUI, HI",United States,20.8893351,-156.4729469,1,Fatal,Destroyed,N6128Q,SCHWEIZER,269C,1,Reciprocating,Instructional,,1,VMC,DESCENT
Accident,9/11/91,"COLLINSVILLE, OK",United States,36.3645384,-95.8388766,1,Fatal,Destroyed,N19083,CESSNA,150L,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,9/11/91,"FARMINGTON, CA",United States,37.929925,-121.0002168,1,Fatal,Destroyed,N43921,Taylorcraft,M74,1,Reciprocating,Aerial Application,,1,VMC,TAKEOFF
Accident,9/12/91,"AKRON, OH",United States,41.0814447,-81.5190053,1,Fatal,Destroyed,N9302T,PIPER,PA38-112,1,Reciprocating,Instructional,,1,VMC,CLIMB
Accident,9/14/91,"NEW CASTLE, VA",United States,37.5001287,-80.1108815,1,Fatal,Destroyed,N102AG,SABRE,VENUS CM,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,9/15/91,"CURTIS, WA",United States,46.5702945,-123.1215712,1,Fatal,Destroyed,N4693C,CESSNA,170B,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,9/18/91,"BELINGTON, WV",United States,39.0251028,-79.9356301,1,Fatal,Destroyed,N2126P,PIPER,PA-28-181,1,Reciprocating,Personal,,1,UNK,CRUISE
Accident,9/20/91,"FRANKSTON, TX",United States,32.0526614,-95.5063456,1,Fatal,,N9908Y,CHAMPION,7-GCB,1,Reciprocating,Instructional,,1,VMC,STANDING
Accident,9/21/91,"VAN HORN, TX",United States,31.0398558,-104.8307698,1,Fatal,Destroyed,N5330W,PIPER,PA-28-150,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,9/23/91,"POINT JUDITH, RI",United States,41.3730772,-71.4856187,1,Fatal,Destroyed,N950CW,ROBINSON,R-22,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,9/25/91,"PIERRE, SD",United States,44.3667876,-100.3537522,1,Fatal,Destroyed,NX39JR,Boeing,TSUNAMI,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,9/27/91,"PAGOSA SPRINGS, CO",United States,37.26945,-107.0097617,1,Fatal,Destroyed,N1JG,CESSNA,P210N,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,9/27/91,"EMMETT, MI",United States,42.9905832,-82.7649266,1,Fatal,Destroyed,N99283,Ercoupe (Eng & Research Corp.),ERCOUPE 415-D,1,Reciprocating,Instructional,,1,VMC,MANEUVERING
Accident,9/28/91,"JOHNSON, AR",United States,36.1328564,-94.1654821,1,Fatal,Destroyed,N999JF,JIM WESEMAN,ASTROCRAFT,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,9/30/91,"ROSSVILLE, TN",United States,35.0484242,-89.5425786,1,Fatal,Destroyed,N42LF,Fairchild Hiller,WAGABOND,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,10/4/91,"CHESAPEAKE BAY, MD",United States,37.5213728,-76.1050092,1,Fatal,Destroyed,N55657,PIPER,PA-28-140,1,Reciprocating,Instructional,,1,UNK,UNKNOWN
Accident,10/4/91,"OLA, ID",United States,44.1781676,-116.2921545,1,Fatal,Destroyed,N91577,NORTH AMERICAN,NAVION,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,10/5/91,"CORDELL, OK",United States,35.291271,-98.9876227,1,Fatal,Destroyed,N4008S,Ayres,S2R-T15,1,Turbo Prop,Aerial Application,,1,VMC,MANEUVERING
Accident,10/5/91,"CARRABELLE, FL",United States,29.8532645,-84.664348,1,Fatal,Destroyed,N3673X,AERO COMMANDER,100,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,10/10/91,"WARNER, OK",United States,35.4942644,-95.3055239,1,Fatal,Destroyed,N8516L,PIPER,PA-25,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,10/11/91,"GREEN COVE SPGS, FL",United States,29.9919085,-81.6781467,1,Fatal,Destroyed,N89296,CESSNA,152,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,10/11/91,"GREEN COVE SPGS, FL",United States,29.9919085,-81.6781467,1,Fatal,Minor,N3288T,CESSNA,177,1,Reciprocating,Aerial Observation,,1,VMC,CRUISE
Accident,10/16/91,"SPRING LAKE, NC",United States,35.1679395,-78.9728056,1,Fatal,Destroyed,N83027,PIPER,PA-28RT-201T,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,10/18/91,"OLANCHA, CA",United States,36.2818827,-118.0064718,1,Fatal,Destroyed,N120MK,CESSNA,120,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,10/19/91,"WEBSTER, NH",United States,43.3289663,-71.7178552,1,Fatal,Substantial,N4051L,Baker,FIREFLY 7,0,Unknown,Personal,,1,VMC,LANDING
Accident,10/23/91,"MILFORD, PA",United States,41.322316,-74.8023882,1,Fatal,Substantial,N172JK,ISRAEL AIRCRAFT INDUSTRIES,LONG EZ,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,10/29/91,"DARDEN, TN",United States,35.6381249,-88.2169835,1,Fatal,Destroyed,N3559J,PIPER,PA-32R-301T,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,10/31/91,"WEST WARDSBORO, VT",United States,43.0303643,-72.8648404,1,Fatal,Destroyed,N8855J,PIPER,PA-28-180,1,Reciprocating,Personal,,1,IMC,MANEUVERING
Accident,11/7/91,"ENGELHARD, NC",United States,35.5096699,-75.9961259,1,Fatal,Destroyed,N7120P,PIPER,PA-24,1,Reciprocating,Business,,1,VMC,TAKEOFF
Accident,11/8/91,"KIOWA, KS",United States,37.0172493,-98.4853539,1,Fatal,Substantial,N5732G,CESSNA,150K,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,11/13/91,"ERIE, PA",United States,42.1292241,-80.085059,1,Fatal,Destroyed,N12VV,Welch,VARI-VIGGEN,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,11/14/91,"VALLEY CENTER, KS",United States,37.8347342,-97.3733759,1,Fatal,Destroyed,N412GK,PIPER,PA28-236,1,Reciprocating,Personal,,1,IMC,APPROACH
Accident,11/17/91,"ANGLETON, TX",United States,29.16941,-95.4318847,1,Fatal,Destroyed,N6637W,BEECH,C23,1,Reciprocating,Business,,1,IMC,DESCENT
Accident,11/20/91,"JASPER, TX",United States,30.9201995,-93.9965759,1,Fatal,Destroyed,N3GE,BEECH,V35TC,1,Reciprocating,Business,,1,VMC,TAKEOFF
Accident,11/22/91,"SAN YSIDRO, CA",United States,32.555556,-117.0470434,1,Fatal,Destroyed,N118A,Snow,AVID AMPHIBIAN,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,12/8/91,"CAMDENTON, MO",United States,38.0080902,-92.7446289,1,Fatal,Destroyed,N39555,PIPER,PA-32RT/300T,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,12/8/91,"PINE VALLEY, CA",United States,32.8214402,-116.5291841,1,Fatal,Destroyed,N36506,PIPER,PA-34-200T,2,Reciprocating,Personal,,1,VMC,CLIMB
Accident,12/13/91,"NAPLES, FL",United States,26.1420358,-81.7948103,1,Fatal,Destroyed,N49278,CESSNA,152,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,12/14/91,"KETCHIKAN, AK",United States,55.3422222,-131.6461112,1,Fatal,Substantial,N2212T,CESSNA,185,1,Reciprocating,Positioning,,1,IMC,TAKEOFF
Accident,12/14/91,"FALL RIVER, MA",United States,41.7014912,-71.1550451,1,Fatal,Destroyed,N4959P,PIPER,PA-23-235,2,Reciprocating,Personal,,1,IMC,GO-AROUND
Accident,12/16/91,"SANTA TERESA, NM",United States,31.8559384,-106.6391577,1,Fatal,Destroyed,N5530B,CESSNA,182,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,12/22/91,"MCGRATH, AK",United States,62.9532043,-155.5959922,1,Fatal,Destroyed,N6390H,CESSNA,207,1,Reciprocating,Positioning,,1,IMC,CRUISE
Accident,12/22/91,"HANGING ROCK, OH",United States,38.56008,-82.7209975,1,Fatal,Substantial,N58445,CESSNA,182P,1,Reciprocating,Personal,,1,IMC,GO-AROUND
Accident,1/2/92,"MOSINEE, WI",United States,44.7930232,-89.7031784,1,Fatal,Destroyed,N500BH,PIPER,PA-31P,2,Reciprocating,Business,,1,IMC,MANEUVERING
Accident,1/4/92,"HOLLY SPRINGS, MS",United States,34.7675967,-89.4486894,1,Fatal,Destroyed,N3093,SLINGSBY,DA-2A,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,1/8/92,"LAMAR, MS",United States,34.9173149,-89.3178505,1,Fatal,Destroyed,N12WP,WACO,VARI-EZE,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,1/8/92,"MEMPHIS, TN",United States,35.1495343,-90.0489801,1,Fatal,,N13564,CESSNA,177B,1,Reciprocating,Personal,,1,IMC,STANDING
Accident,1/11/92,"LANTANA, FL",United States,26.5867358,-80.0519859,1,Fatal,Destroyed,N3767C,CESSNA,402B,2,Reciprocating,Personal,,1,VMC,CRUISE
Accident,1/14/92,"HANSVILLE, WA",United States,47.9186216,-122.5542458,1,Fatal,Destroyed,N86964,Ercoupe (Eng & Research Corp.),415-C,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,1/15/92,"EDISON, NJ",United States,40.5187154,-74.4120953,1,Fatal,Destroyed,N8674F,HUGHES,369D,1,Turbo Shaft,Business,,1,VMC,CRUISE
Accident,1/26/92,"MANASSAS, VA",United States,38.7509488,-77.4752667,1,Fatal,Destroyed,N3738A,BEECH,V35B,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,1/28/92,"AUSTIN, NV",United States,39.4925701,-117.0672356,1,Fatal,Substantial,N39HP,CESSNA,170B,1,Reciprocating,Business,,1,IMC,MANEUVERING
Accident,1/29/92,"GARRISON, MT",United States,46.5232622,-112.81171,1,Fatal,Destroyed,N8267E,CESSNA,182R,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,1/31/92,"AZTEC, NM",United States,36.8222261,-107.9928455,1,Fatal,Destroyed,N121WE,AIR TRANS. INC,WHITE LIGHTNING,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,2/3/92,"BOONE, IA",United States,42.0597047,-93.8802273,1,Fatal,Destroyed,N1066,Rare Aircraft,RAND KR-2,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,2/4/92,"ROSAMOND, CA",United States,34.8641446,-118.1634075,1,Fatal,Destroyed,N169RM,85 MANISTA,KB-2,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,2/6/92,"RICHMOND HTS., OH",United States,41.5528288,-81.5101208,1,Fatal,Destroyed,N725AC,AERO COMMANDER,500S,2,Reciprocating,Personal,,1,VMC,CLIMB
Accident,2/9/92,"CUBE COVE, AK",United States,57.935,-134.7111111,1,Fatal,Substantial,N905D,STINSON,108-2,1,Reciprocating,Business,,1,VMC,APPROACH
Accident,2/11/92,"LAKELAND, FL",United States,28.0394654,-81.9498042,1,Fatal,Substantial,N66LM,CESSNA,425,2,Turbo Prop,Positioning,,1,IMC,APPROACH
Accident,2/16/92,"WHITE LAKE, NY",United States,41.6769705,-74.8279918,1,Fatal,Substantial,N6559F,CESSNA,150,1,Reciprocating,Personal,,1,IMC,APPROACH
Accident,2/22/92,"AGUA DULCE, CA",United States,34.4963817,-118.3256348,1,Fatal,Destroyed,N9066L,Grumman American,AA1B,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,2/23/92,"BURLINGTON, IL",United States,42.0528038,-88.5481412,1,Fatal,Destroyed,N5309W,PIPER,PA-28-160,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,3/4/92,"MARICOPA, AZ",United States,33.0581063,-112.0476423,1,Fatal,Destroyed,N8413Q,ROBINSON,R22,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,3/6/92,"OXBOW, OR",United States,44.9748785,-116.8629359,1,Fatal,Destroyed,N2645W,ROBINSON,R-22 BETA,1,Reciprocating,Ferry,,1,VMC,CRUISE
Accident,3/8/92,"LITTLE ROCK, AR",United States,34.7464809,-92.2895948,1,Fatal,Destroyed,N123ZT,Werner,,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,3/8/92,"DUFUR, OR",United States,45.4531754,-121.1306244,1,Fatal,Destroyed,N1763S,AERO COMMANDER,S-2R,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,3/16/92,"ABERDEEN, MS",United States,33.8251139,-88.5436553,1,Fatal,Destroyed,N16388,PIPER,PA-32-300,1,Reciprocating,Business,,1,VMC,TAKEOFF
Accident,3/16/92,"WILLACOOCHEE, GA",United States,31.3407551,-83.0459826,1,Fatal,Substantial,NONE,MAULE,582,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,3/21/92,"BARNWELL, SC",United States,33.2448733,-81.3587177,1,Fatal,Minor,N5441B,CESSNA,182,1,Reciprocating,Personal,,1,VMC,OTHER
Accident,3/23/92,"BOWLING GREEN, KY",United States,36.9685219,-86.4808043,1,Fatal,Substantial,N191JD,Intermountain Mfg. (IMCO),ROTORWAY EXEC,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,3/26/92,"LEBEC, CA",United States,34.8416435,-118.8648189,1,Fatal,Destroyed,N4335N,PIPER,PA 28-236,1,Reciprocating,Business,,1,IMC,CRUISE
Accident,4/1/92,"BROWNTOWN, WI",United States,42.5777853,-89.7942882,1,Fatal,Destroyed,N3884R,CESSNA,172H,1,Reciprocating,Instructional,,1,IMC,CRUISE
Accident,4/4/92,"TITUSVILLE, FL",United States,28.6122187,-80.8075537,1,Fatal,Substantial,N91945,DOUGLAS,AD4-DW,1,Reciprocating,Unknown,,1,VMC,LANDING
Accident,4/5/92,"CUCAMONGA, CA",United States,34.1063989,-117.5931084,1,Fatal,Destroyed,N302CB,Glaser-Dirks,GC-1B,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,4/9/92,"ALBUQUERQUE, NM",United States,35.0843859,-106.650422,1,Fatal,Substantial,N8194X,PIPER,PA-32R-301T,1,Reciprocating,Public Aircraft,,1,VMC,CLIMB
Accident,4/10/92,"HARRISBURG, OR",United States,44.2740123,-123.170648,1,Fatal,Destroyed,N27127,Mooney,SONERAI 1,1,Reciprocating,Personal,,1,VMC,OTHER
Accident,4/13/92,"KELLYVILLE, OK",United States,35.9436968,-96.2136136,1,Fatal,Destroyed,N54736,CESSNA,172P,1,Reciprocating,Aerial Observation,,1,VMC,MANEUVERING
Accident,4/16/92,"BUSHNELL, FL",United States,28.6649924,-82.1128629,1,Fatal,Destroyed,N47343,CESSNA,152,1,Reciprocating,Unknown,,1,VMC,TAKEOFF
Accident,4/19/92,"FORT WORTH, TX",United States,32.7554883,-97.3307658,1,Fatal,Substantial,N99747,E TN PLTS STARDUSTER,X-5,1,Reciprocating,Personal,,1,VMC,DESCENT
Accident,4/20/92,"BUXTON, ME",United States,43.6378583,-70.5189422,1,Fatal,Destroyed,N519CS,Continental Copters,BUSHBY MUSTANG II,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,4/22/92,"ST. AUGUSTINE, FL",United States,29.9012437,-81.3124341,1,Fatal,Destroyed,N13910,PIPER,PA-18-150,1,Reciprocating,Personal,,1,VMC,OTHER
Accident,4/22/92,"NEWNAN, GA",United States,33.3806716,-84.7996573,1,Fatal,Substantial,N107T,Gates Learjet,DG-600/18M,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,4/22/92,"MONTEVERDE, FL",United States,28.6002769,-81.673964,1,Fatal,Destroyed,N4904E,Murch,NAV-A,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,4/23/92,"NEW PORT RICHEY, FL",United States,28.2441768,-82.7192671,1,Fatal,Destroyed,N3271Q,CESSNA,401,2,Reciprocating,Ferry,,1,VMC,MANEUVERING
Accident,4/25/92,"ELBERT, CO",United States,39.2194678,-104.5371508,1,Fatal,Destroyed,N7642,SCHWEIZER,SGS 1-34,0,Unknown,Personal,,1,VMC,MANEUVERING
Accident,4/26/92,"GATLINBURG, TN",United States,35.714259,-83.5101638,1,Fatal,Destroyed,N3221M,CESSNA,310R,2,Reciprocating,Personal,,1,IMC,CRUISE
Accident,4/29/92,"ADAMSTOWN, MD",United States,39.3115396,-77.4753602,1,Fatal,Destroyed,N3357X,MOONEY,M20E,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,5/2/92,"BENTON, TN",United States,35.1742411,-84.6535468,1,Fatal,Substantial,N17TM,Schleicher,RS-15,0,Unknown,Personal,,1,VMC,APPROACH
Accident,5/2/92,"AVALON, CA",United States,33.3428193,-118.3282279,1,Fatal,Destroyed,N583T,BEECH,A36,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,5/3/92,"WENATCHEE, WA",United States,47.4234599,-120.3103494,1,Fatal,Destroyed,N279AS,PDPS PZL-Bielsko,B-4 PC 11A,0,Unknown,Personal,,1,VMC,MANEUVERING
Accident,5/5/92,"SOUTHBURY, CT",United States,41.4793072,-73.2133715,1,Fatal,Destroyed,N36MR,BEECH,A36,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,5/8/92,"PERRIS, CA",United States,33.7825194,-117.2286478,1,Fatal,Destroyed,N16LM,Lake,QUICKSILVER GT500,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,5/8/92,"ANAHEIM, CA",United States,33.8365932,-117.9143012,1,Fatal,Destroyed,N8064E,ROBINSON,R-22B,1,Reciprocating,Business,,1,IMC,CRUISE
Accident,5/14/92,"HEBERT, LA",United States,32.1826534,-91.990966,1,Fatal,Destroyed,N5637X,Ayres,S2R,1,Turbo Prop,Aerial Application,,1,VMC,CLIMB
Accident,5/17/92,"DAVENPORT, WA",United States,47.6540456,-118.149973,1,Fatal,Destroyed,N9015S,BEECH,S35,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,5/17/92,"IROQUOIS, SD",United States,44.3669201,-97.8509171,1,Fatal,Destroyed,N4427Y,PIPER,PA-25-235,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,5/20/92,"ELBA, AL",United States,31.4146108,-86.0677243,1,Fatal,Destroyed,N5519S,CESSNA,188,1,Reciprocating,Instructional,,1,VMC,MANEUVERING
Accident,5/20/92,"ROBINSON, IL",United States,39.0053201,-87.7391935,1,Fatal,Substantial,N7200S,CESSNA,150H,1,Reciprocating,Personal,,1,IMC,MANEUVERING
Accident,5/22/92,"EATONVILLE, WA",United States,46.8673263,-122.2665021,1,Fatal,Destroyed,N7579X,CESSNA,172B,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,5/24/92,"ADELANTO, CA",United States,34.5827699,-117.409215,1,Fatal,Destroyed,NONE,WELCH,HOMEBUILT GYROCOPTER,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,5/30/92,"CLEWISTON, FL",United States,26.7542312,-80.9336753,1,Fatal,Destroyed,N3793R,CESSNA,172-H,1,Reciprocating,Instructional,,1,VMC,GO-AROUND
Accident,5/31/92,"LAKE CITY, CO",United States,38.0299967,-107.3153335,1,Fatal,Destroyed,N2742T,Beech,35-C33,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,5/31/92,"STRAWBERRY, AZ",United States,34.4078063,-111.4934754,1,Fatal,Destroyed,N9645B,CESSNA,172RG,1,Reciprocating,Personal,,1,VMC,DESCENT
Accident,5/31/92,"WASHBURN, IA",United States,42.4116556,-92.2674061,1,Fatal,Destroyed,N211CL,"Rotec Engineering, Inc.",532 COMMANDER,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,5/31/92,"WHITE HOUSE, TN",United States,36.4703232,-86.6513845,1,Fatal,Destroyed,N9CK,Weatherly,BOBCAT,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,6/1/92,"LAKE WACCAMAW, NC",United States,34.3190578,-78.5000088,1,Fatal,Substantial,N757VN,CESSNA,152,1,Reciprocating,Personal,,1,VMC,CRUISE
Accident,6/2/92,"SUCKLING HILLS, AK",United States,60.0586111,-143.7827778,1,Fatal,Substantial,N3550T,TAYLORCRAFT,F-19,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,6/5/92,"SYLMAR, CA",United States,34.3058279,-118.4571974,1,Fatal,Destroyed,N701KA,CESSNA,152,1,Reciprocating,Instructional,,1,IMC,MANEUVERING
Accident,6/5/92,"WILLS POINT, TX",United States,32.7092955,-96.0083018,1,Fatal,Destroyed,N5649,LET,SA300,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,6/7/92,"BOONVILLE, NY",United States,43.4836801,-75.3365607,1,Fatal,Substantial,N3146G,Mooney,KOLB MK-III,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,6/7/92,"AURORA, CO",United States,39.7294319,-104.8319195,1,Fatal,Destroyed,N3LL,SWEARINGEN,KR-2,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,6/10/92,"MADERA, CA",United States,36.9613356,-120.0607176,1,Fatal,Destroyed,N2420V,PIPER,PA36-300,0,Unknown,Public Aircraft,,1,VMC,
Accident,6/11/92,"BLOOMINGTON, IL",United States,40.4842027,-88.9936873,1,Fatal,Destroyed,N302FW,MOONEY,M20J,1,Reciprocating,Business,,1,VMC,APPROACH
Accident,6/13/92,"BRAINERD, MN",United States,46.3526733,-94.2020084,1,Fatal,Destroyed,N2519F,CHAMPION,7GCAA,1,Reciprocating,Business,,1,VMC,MANEUVERING
Accident,6/13/92,"SUNLAND PARK, NM",United States,31.796496,-106.5799891,1,Fatal,Destroyed,N10436,HUGHES,OH-6A,1,Turbo Shaft,Public Aircraft,,1,VMC,MANEUVERING
Accident,6/17/92,"BETHANY, OK",United States,35.5186678,-97.6322639,1,Fatal,Destroyed,N7419J,PIPER,PA-28R-180,1,Reciprocating,Business,,1,VMC,APPROACH
Accident,6/17/92,"TROY, MI",United States,42.6064095,-83.1497751,1,Fatal,Destroyed,N429HD,PIPER,PA-28-180D,1,Reciprocating,Personal,,1,VMC,GO-AROUND
Accident,6/18/92,"WOODLAND, WA",United States,45.9045591,-122.7439912,1,Fatal,Destroyed,N107WB,WEAVER,GLASAIR,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,6/19/92,"COLUMBIA, CA",United States,38.0363119,-120.4013061,1,Fatal,Destroyed,N427DE,GRUMMAN,TS2F,0,Unknown,Public Aircraft,,1,VMC,
Accident,6/20/92,"PROSSER, WA",United States,46.2067997,-119.7689223,1,Fatal,Substantial,N1812G,CHAMPION,7GCBC,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,6/24/92,"IDABEL, OK",United States,33.8956647,-94.8263281,1,Fatal,Destroyed,N9973G,CESSNA,188A,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,6/25/92,"KONAWA, OK",United States,34.9595263,-96.7527956,1,Fatal,Destroyed,N690JC,Rockwell,690B,2,Turbo Prop,Ferry,,1,VMC,CLIMB
Accident,6/26/92,"LABELLE, FL",United States,26.7617322,-81.4384092,1,Fatal,Destroyed,N9089F,HUGHES,369HS,1,Turbo Shaft,Personal,,1,VMC,CRUISE
Accident,6/28/92,"WILLIAMSPORT, MD",United States,39.6006523,-77.8205508,1,Fatal,Destroyed,N531PJ,TEXAS HELICOPTER,II,1,Reciprocating,Personal,,1,VMC,UNKNOWN
Accident,6/28/92,"MOKANE, MO",United States,38.6750418,-91.874345,1,Fatal,Destroyed,N5175L,PIPER,PA-28-180,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,6/29/92,"BALLANTINE, MT",United States,45.9488511,-108.1451196,1,Fatal,Destroyed,N3696R,BEECH,A36TC,1,Reciprocating,Personal,,1,IMC,CRUISE
Accident,6/30/92,"MIDDLETOWN, NY",United States,41.4459271,-74.4229341,1,Fatal,Substantial,N1211Z,BEECH,N35,1,Reciprocating,Personal,,1,VMC,APPROACH
Accident,6/30/92,"HOMESTEAD, FL",United States,25.4687224,-80.4775569,1,Fatal,Destroyed,N9667N,Deluca-Owl,KR-2,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,7/1/92,"TULARE, CA",United States,36.2077288,-119.3473379,1,Fatal,Destroyed,N8636H,GRUMMAN,G-164A,1,Reciprocating,Aerial Application,,1,VMC,CRUISE
Accident,7/3/92,"OCONTO FALLS, WI",United States,44.8738805,-88.1428798,1,Fatal,Destroyed,N231FW,MOONEY,M20K,1,Reciprocating,Personal,,1,VMC,MANEUVERING
Accident,7/4/92,"DOVER, FL",United States,27.9941885,-82.2195344,1,Fatal,Minor,N4037Q,Rans,S-60A,0,Unknown,Personal,,1,VMC,LANDING
Accident,7/5/92,"DWIGHT, IL",United States,41.0944767,-88.4250597,1,Fatal,,N35107,CESSNA,177B,1,Reciprocating,Personal,,1,VMC,STANDING
Accident,7/9/92,"PORTLAND, ME",United States,43.6590993,-70.2568189,1,Fatal,Substantial,CGTCM,CESSNA,U206F,1,Reciprocating,Business,,1,IMC,CRUISE
Accident,7/9/92,"SLATINGTON, PA",United States,40.7526123,-75.6062105,1,Fatal,Destroyed,N7578B,AERONCA,7EC,1,Reciprocating,Personal,,1,VMC,TAKEOFF
Accident,7/9/92,"SUPERIOR, AZ",United States,33.293945,-111.0962305,1,Fatal,Destroyed,N6483C,CESSNA,T210N,1,Reciprocating,Business,,1,VMC,CRUISE
Accident,7/17/92,"DECKER, IN",United States,38.5189362,-87.5230775,1,Fatal,Destroyed,N4766Y,PIPER,PA-25-260,1,Reciprocating,Aerial Application,,1,VMC,MANEUVERING
Accident,7/17/92,"TOOL, TX",United States,32.2679247,-96.170252,1,Fatal,Destroyed,N6959C,PIPER,PA-28R-201T,1,Reciprocating,Business,,1,IMC,MANEUVERING
Accident,7/22/92,"KINGSTON, WA",United States,47.7987072,-122.4981921,1,Fatal,Substantial,N52201,CESSNA,172P,1,Reciprocating,Personal,,1,IMC,MANEUVERING
